일자,계(명),서울,부산,대구,대전,경기
2023-01-26,"21,251","6,810","2,697","1,415","1,019","9,310"
2023-01-27,"17,632","5,081","2,233","1,599",891,"7,828"
2023-01-28,"13,331","4,061","1,639","1,181",614,"5,836"
2023-01-29,"10,221","2,921","1,224","1,132",500,"4,444"
2023-01-30,"3,779",919,409,322,201,"1,928"
2023-01-31,"11,509","3,694","1,609",927,549,"4,730"
2023-02-01,"11,176","3,275","1,519","1,079",571,"4,732"
2023-02-02,"9,530","2,879","1,201",916,444,"4,090"
2023-02-03,"8,527","2,548","1,145",856,412,"3,566"
2023-02-04,"8,134","2,433","1,050",791,372,"3,488"
2023-02-05,"7,626","2,296",996,862,353,"3,119"
2023-02-06,"3,139",814,336,294,151,"1,544"
2023-02-07,"9,571","3,042","1,396",851,431,"3,851"
2023-02-08,"9,959","2,897","1,344",989,480,"4,249"
2023-02-09,"8,198","2,457","1,128",820,332,"3,461"
2023-02-10,"7,683","2,366","1,079",771,340,"3,127"
2023-02-11,"7,139","2,289",948,745,317,"2,840"
2023-02-12,"6,507","2,125",861,595,253,"2,673"
2023-02-13,"2,845",741,303,388,128,"1,285"
2023-02-14,"8,503","2,698","1,186",784,385,"3,450"
2023-02-15,"8,098","2,568",978,843,351,"3,358"
2023-02-16,"7,098","2,278",913,683,290,"2,934"
2023-02-17,"6,513","2,095",793,598,265,"2,762"
2023-02-18,"6,160","1,976",726,544,282,"2,632"
2023-02-19,"5,827","1,905",635,565,235,"2,487"
2023-02-20,"2,463",701,201,226,143,"1,192"
2023-02-21,"7,404","2,500",868,565,316,"3,155"
2023-02-22,"7,313","2,346",801,602,265,"3,299"
2023-02-23,"6,254","2,115",599,509,241,"2,790"
2023-02-24,"5,927","1,956",667,557,262,"2,485"
2023-02-25,"5,775","1,920",613,502,280,"2,460"
2023-02-26,"5,271","1,764",538,355,258,"2,356"
2023-02-27,"2,254",621,218,241,111,"1,063"
2023-02-28,"6,693","2,324",733,507,290,"2,839"
2023-03-01,"7,047","2,299",688,541,320,"3,199"
2023-03-02,"4,206","1,194",428,339,192,"2,053"
2023-03-03,"6,369","2,294",640,434,287,"2,714"
2023-03-04,"6,730","2,212",629,505,299,"3,085"
2023-03-05,"5,981","2,006",553,512,304,"2,606"
2023-03-06,"2,467",734,173,142,122,"1,296"
2023-03-07,"7,734","2,741",702,499,360,"3,432"
2023-03-08,"7,519","2,443",683,564,361,"3,468"
2023-03-09,"6,378","2,128",576,468,316,"2,890"
2023-03-10,"6,154","2,168",531,409,318,"2,728"
2023-03-11,"5,947","1,976",465,417,303,"2,786"
2023-03-12,"5,393","1,824",438,359,354,"2,418"
2023-03-13,"2,481",689,144,214,150,"1,284"
2023-03-14,"7,182","2,396",540,516,423,"3,307"
2023-03-15,"7,029","2,308",542,427,401,"3,351"
2023-03-16,"5,898","1,976",437,386,323,"2,776"
2023-03-17,"5,541","1,988",368,395,300,"2,490"
